id,created_at,retweet_count,user_screen_name,user_followers_count,user_location,hashtags,text
967186405507056000,2018-02-23 23:56:23,7,L0B033,319,Potidaea,"[""XenaRevival"", ""Xena"", ""XenaRevival"", ""XenaMovie""]",There are at least two Saudi actresses on @netflix already. I love me some Ahd Kamel but I'm tired of this trope.
967186416701706000,2018-02-23 23:56:25,62,_hilem,56,United States,[],"RT @MakingStarWars: @RianJohnson Q&amp;A with @ManMadeMoon for @Netflix's ""Mute."" #Mute #Moon #StarWars"
967186439078203000,2018-02-23 23:56:31,7,L0B033,319,Potidaea,"[""XenaRevival""]",@its_willyu @netflix Seems you should write your own movie script then and stop complaining about other people?s art....
967186464369992000,2018-02-23 23:56:37,19,ejruiz,112,"Gainesville, FL",[],RT @Kai56405432: We want a #XenaRevival with original cast @NBCUniversal @netflix @hulu @AmazonStudios #Xena
967186470787105000,2018-02-23 23:56:38,0,Lisa88270167,50,"California, USA",[],RT @Sanaryelle: @IndieWire @netflix Jared Leto becomes a ?Yakuza Killing Machine?? Like Tom Cruise was ?The Last Samurai?? Seriously?
967186549111534000,2018-02-23 23:56:57,0,BrandonGoyette,7,,[],RT @anokhina_1997: We need #XenaRevival with #OriginalCast #NoReboot! @robtapert @UniversalTV @nbc @NBCUniversal @netflix
967186558162936000,2018-02-23 23:56:59,5,L0B033,319,Potidaea,[],Ok Olympics are over.... @netflix it's time to #RenewTravelers
967186580791284000,2018-02-23 23:57:04,0,verter88,3863,Italy,"[""IronFist"" ,""Marvel""]",The Chris Rock @Netflix comedy had some laughs and some pandering about being black that was embarrassing. And he?
967186634084180000,2018-02-23 23:57:17,0,keriqbaum,4900,Midwest ??????,[],RT @TheKenReedyShow: @IndieWire @netflix And still no one has a problem with the main Italian characters in The Assassination of Gianni Ver?
967186665851769000,2018-02-23 23:57:25,6,LesleyOliverA,200,"Ontario, Canada ????",[],RT @kJ0uIgaDACht9c0: #XenaRevival with original cast or #XenaMovie @robtapert @UniversalTV @nbc @netflix @NetflixLifee @NBCUniversal https?
967186669408461000,2018-02-23 23:57:26,7,L0B033,319,Potidaea,"[""XenaRevival"", ""OriginalCast""]",@SaveTLT @netflix @Netflix_CA @NetflixUK Please sign our petition to #SaveTheLastTycoon
967186689096585000,2018-02-23 23:57:30,0,DavierRoss,127,469,[],7 episodes into ALTERED CARBON and I?m now just realizing how trash this show is. I tried @netflix ???????
967186690489111000,2018-02-23 23:57:31,0,eMCharge,2559,Infuriation Falls,[],RT @Elena11575: @nbc @NBCUniversal @robtapert please! Do #XenaRevival @netflix @SYFY
967186695350301000,2018-02-23 23:57:32,8,SClass68,80,,"[""SevenSeconds""]",RT @IndieWire: #TheOutsider Trailer: Jared Leto Becomes a Yakuza Killing Machine in @netflix Original
967186705819161000,2018-02-23 23:57:34,14,L0B033,319,Potidaea,"[""XenaRevival"", ""XenaMovie"", ""XXisforXENA"", ""ReneeOConnor""]",I haven?t watched @Netflix for a week or so and now I?m feeling guilty. Recommendations?
967186730871935000,2018-02-23 23:57:40,0,Stitchpunk83,116,"Orlando, FL",[],Watching buddy ???? @netflix @OneDayAtATime #OneDayAtATime
967186732637704000,2018-02-23 23:57:41,1,Mardigroan,7022,,[],@MarvelIronFist @netflix
967186732809630000,2018-02-23 23:57:41,614,dobrevcbellos,2052,@ltwhsrry ???,[],@Netflix why do you feel the need to advertise this move as a ?strong? black lead? We can see the main characters a?
967186743240741000,2018-02-23 23:57:43,15,L0B033,319,Potidaea,"[""XenaRevival"", ""XenaMovie"", ""XXisforXENA""]",@joelmchale @netflix @NetflixLAT Did you learn all this at Greendale??
967186757103047000,2018-02-23 23:57:47,0,alliisonthomas,69,"Crawfordsville, IN",[],@dan_corkery @QueerEye @netflix It legitimately warmed my heart - how many things can do that these days?
967186771598602000,2018-02-23 23:57:50,113,KitsunenoYoukai,240,,[],RT @ManMadeMoon: Well! That should be @mute gone live on @netflix all over the world! ?? you all! I?m off to bed!
967186780276609000,2018-02-23 23:57:52,0,JohnBechard,17721,"Portland, Maine",[],"RT @Alina72649228: @NetflixLifee @netflix @nbc @NBCUniversal #XXisforXENA #XenaRevival #XenitesUnitebrng legend back, give us Xena Revival?"
967186802950853000,2018-02-23 23:57:57,5,L0B033,319,Potidaea,"[""XenaRevival""]",RT @JohnGilles6: @netflix @NBCUniversal @nbc @SYFY @robtapert PLEASE! We want just full 7th season of #XenaRevival with #LucyLawless and #R?
967186854226420000,2018-02-23 23:58:10,0,oxmat_,82,i ? tay,[],RT @spidadmitchell: So @netflix took @BurnNotice_USA off its website!! This really hurts me honestly! This is my favorite show and if there?
967186881489375000,2018-02-23 23:58:16,0,MandyLeeLawson,296,"Dallas, TX","[""UglyDelicious""]",RT @Kira38931594: #XenaRevival with original cast will be epic and we will stand up calling for it until it happens. @NBCUniversal @netflix?
967186884198851000,2018-02-23 23:58:17,0,Mardigroan,7022,,[],"@joelmchale @netflix @NetflixLAT Ver a @joelmchale, @alisonbrie y @RashisTVUgly me ilusion‚ con una pel¡cula de?"
967186886472151000,2018-02-23 23:58:17,1,Cxrlitaaa,943,Ldn&Birms,[],I'm more than a little obsessed with the Dirty Money episode about the Maple Syrup Heist in Canada on @netflix. Bec?
967186907162583000,2018-02-23 23:58:22,0,perazaamy,227,Everywhere,"[""Shuri"", ""WakandaForever""]","@netflix, I love you so much, but I also hate you (but not rlly). @QueerEye should?ve come out in a box set series?"
967186911885451000,2018-02-23 23:58:23,0,pieeatingchamp,524,Atlanta,[],"Have plans tonight? Yes you do ?? The new docuseries, UGLY DELICIOUS, premieres TONIGHT on @netflix. UHD finishing?"
967186933527986000,2018-02-23 23:58:29,1,OMFGrhombus,171,,[],"RT @Corey_Champagne: Alright world, ?Seven Seconds? is now yours. Enjoy ?? @netflix"
967186958945485000,2018-02-23 23:58:35,0,KalagangInParis,1407,United Kingdom,[],@cbbzor @angryasianman @netflix Wait..This shit is on @netflix ??? WTF Netflix? GET RID OF THIS CRAP!!!
967187001115075000,2018-02-23 23:58:45,12,Elena_Wendimoor,25,"????????? ???????, ??????","[""DirkGently"", ""SaveDirkGently""]",Review: @Netflix's #SevenSeconds and the worth of black bodies in America
967187019398033000,2018-02-23 23:58:49,0,moshu_ny,24,"New York, USA",[],RT @doblajeVe: RositaFresita #Frutillita #doblaje @NetflixLAT @netflix @Discovery_Kids @DisneyJunior1
967187033079861000,2018-02-23 23:58:52,0,chrisfrye,295,"North Carolina, USA",[],RT @The_Real_IMAN: Today is the day! Don?t miss out on watching @ManMadeMoon Duncan Jones? movie Mute @mute on @netflix #Mute #manmademovie?
967187070392455000,2018-02-23 23:59:01,1,sultanelturrah,145,"Brussels, Belgium","[""ps4"" ]",@netflix I?m just try and keep it together during ?Irreplaceable You.?
967187082358731000,2018-02-23 23:59:04,0,JohnBechard,17721,"Portland, Maine",[],"RT @_mike_torres: Dear @netflix , thanks for bringing back The Sou- I mean the @JoelMcHaleShow with @joelmchale"
967187125987873000,2018-02-23 23:59:14,6108,sanford_meghan,58,,[],I?m sick. I am contagious. I am not leaving my house. I *need* @netflix or @amazon prime recommendations pronto please!!!!
967187130433679000,2018-02-23 23:59:16,1,L0B033,319,Potidaea,"[""ReneeOConnor"", ""XenaRevival""]",@its_willyu @netflix Cause Asian movies give American actors such juicy roles. Right?
967187146015683000,2018-02-23 23:59:19,315,Rockets2Writing,1300,Lost in space,[],"@its_willyu @netflix Reminder that Japan has a huge movie industry of their own, almost always staring all Asian ca?"
967187158212665000,2018-02-23 23:59:22,1965,thenameisclarky,555,"Eagle River, AK",[],Heeeey @Netflix if you make me wait two years for season 2 of Altered Carbon and @joelkinnaman Imma unsubscribe. N?
967187190177346000,2018-02-23 23:59:30,0,MrLitvin,49,"Toronto, Ontario",[],@MoKrier @netflix Not long to wait. The Jupiter 2 is about to take off for an amazing journey of wonder.
967187193021305000,2018-02-23 23:59:30,0,hrlilozyni_,271,,[],"RT @netflix: If you're looking for #LostInSpace spoilers, just ask @NASA"
967187194870890000,2018-02-23 23:59:31,0,missy_flanagan,248,,[],@joelmchale @netflix @NetflixLAT Netflix y fr¡o (mi espa¤ol no es perfecto. ¨Fr¡o es mismo de ?chill??)
967187196741607000,2018-02-23 23:59:31,1018,RobtheteacherBB,29,"The Acreage, FL","[""LostInSpace""]",@netflix plz put Fresh Prince of Bel Air on thank u
967187226542166000,2018-02-23 23:59:38,86,mysideof50,4928,"Tomball, TX","[""Nevada"" ]",RT @sedirox: @netflix I just watched that episode of Black Mirror.
967187236658725000,2018-02-23 23:59:41,0,AHnomaly,622,"Los Angeles, CA",[],RT @Eben_Lompo: Donc aprŠs Death Note c?est au tour de Full Metal Alchemist @netflix ? Touchez … Hunter x Hunter ‡a va sortir dans les rues?
967187239150215000,2018-02-23 23:59:41,0,karaoklee,249,,[],Praying for @netflix hopefully y?all make sum shake. Add movies that will get y?all ratings up #Duh ?????????
967187286600413000,2018-02-23 23:59:53,0,JDHidalgo94,105,"Tres R¡os, Cartago, Costa RIca",[],@joelmchale @netflix @NetflixLAT You are tremendo!!
967187292896014000,2018-02-23 23:59:54,0,RobtheteacherBB,29,"The Acreage, FL",[],"every show I end up watching with deep intent and interest, ends up being cancelled on @netflix ... Bring back @DamnationTV :/"
967187297623052000,2018-02-23 23:59:55,4624,wakandastark,5762,Royaume-Uni,[],@schsnapp @SadieSink @noah_schnapp @Stranger_Things @netflix @SadieSink @noah_schnapp @Stranger_Things @netflix
967187308138045000,2018-02-23 23:59:58,6015,TheOtherOsama,854,Redmond,[],RT @PetsforPatriots: Let King make your home a castle! Senior pup loves binging on @netflix + lounging on the couch w/his humans. Ok with o?
